********************************************************************************
product = Open Liberty 20.0.0.7 (wlp-1.0.42.cl200720200625-0300)
wlp.install.dir = /Users/thomas.jennings@ibm.com/workdir/security/security-openliberty-blockchain/client/guide-security-intro/finish/target/liberty/wlp/
java.home = /Library/Java/JavaVirtualMachines/adoptopenjdk-8-openj9.jdk/Contents/Home/jre
java.version = 1.8.0_222
java.runtime = OpenJDK Runtime Environment (1.8.0_222-b10)
os = Mac OS X (10.15.5; x86_64) (en_GB)
process = 61442@Thomass-MacBook-Pro.local
********************************************************************************
[23/07/20 19:46:46:599 BST] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0001I: The server defaultServer has been launched.
[23/07/20 19:46:46:794 BST] 00000026 com.ibm.ws.config.xml.internal.XMLConfigParser               A CWWKG0028A: Processing included configuration resource: /Users/thomas.jennings@ibm.com/workdir/security/security-openliberty-blockchain/client/guide-security-intro/finish/target/liberty/wlp/usr/servers/defaultServer/userRegistry.xml
[23/07/20 19:46:46:798 BST] 00000026 com.ibm.ws.config.xml.internal.ServerXMLConfiguration        A CWWKG0093A: Processing configuration drop-ins resource: /Users/thomas.jennings@ibm.com/workdir/security/security-openliberty-blockchain/client/guide-security-intro/finish/target/liberty/wlp/usr/servers/defaultServer/configDropins/overrides/liberty-plugin-variable-config.xml
[23/07/20 19:46:46:856 BST] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           I CWWKE0002I: The kernel started after 0.513 seconds
[23/07/20 19:46:46:863 BST] 00000031 com.ibm.ws.kernel.feature.internal.FeatureManager            I CWWKF0007I: Feature update started.
[23/07/20 19:46:46:967 BST] 00000025 com.ibm.ws.security.ready.internal.SecurityReadyServiceImpl  I CWWKS0007I: The security service is starting...
[23/07/20 19:46:47:010 BST] 00000028 com.ibm.ws.app.manager.internal.monitor.DropinMonitor        A CWWKZ0058I: Monitoring dropins for applications.
[23/07/20 19:46:47:109 BST] 00000026 com.ibm.ws.cache.ServerCache                                 I DYNA1001I: WebSphere Dynamic Cache instance named baseCache initialized successfully.
[23/07/20 19:46:47:110 BST] 00000026 com.ibm.ws.cache.ServerCache                                 I DYNA1071I: The cache provider default is being used.
[23/07/20 19:46:47:110 BST] 00000026 com.ibm.ws.cache.CacheServiceImpl                            I DYNA1056I: Dynamic Cache (object cache) initialized successfully.
[23/07/20 19:46:47:188 BST] 0000002d com.ibm.ws.ssl.config.WSKeyStore                             A CWPKI0820A: The default keystore has been created using the 'keystore_password' environment variable.
[23/07/20 19:46:47:205 BST] 00000037 com.ibm.ws.security.ready.internal.SecurityReadyServiceImpl  I CWWKS0008I: The security service is ready.
[23/07/20 19:46:47:205 BST] 00000025 ibm.ws.security.authentication.internal.jaas.JAASServiceImpl I CWWKS1123I: The collective authentication plugin with class name NullCollectiveAuthenticationPlugin has been activated. 
[23/07/20 19:46:47:205 BST] 00000037 com.ibm.ws.security.token.ltpa.internal.LTPAKeyCreateTask    I CWWKS4105I: LTPA configuration is ready after 0.011 seconds.
[23/07/20 19:46:47:289 BST] 00000025 com.ibm.ws.security.jaspi.AuthConfigFactoryWrapper           I CWWKS1655I: The default Java Authentication SPI for Containers (JASPIC) AuthConfigFactory class com.ibm.ws.security.jaspi.ProviderRegistry is being used because the Java security property authconfigprovider.factory is not set. 
[23/07/20 19:46:47:363 BST] 0000003a com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: Starting application guide-security-intro.war.
[23/07/20 19:46:47:364 BST] 0000003a bm.ws.app.manager.war.internal.WARDeployedAppInfoFactoryImpl I CWWKZ0134I: The guide-security-intro.war application is using the loose application definition at the /Users/thomas.jennings@ibm.com/workdir/security/security-openliberty-blockchain/client/guide-security-intro/finish/target/liberty/wlp/usr/servers/defaultServer/apps/guide-security-intro.war.xml location.
